Pathway	O1_E_1cm	O1_E_5cm	O1_K_1	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O1_S_1	O1_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O1_Tg_F_Th	O2_E_1cm	O2_E_5cm	O2_K_1	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	O2_S_1	O2_S_3	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	O2_Tg_TR	Y1_E_1cm	Y1_E_5cm	Y1_K_1	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y1_S_1	Y1_S_3	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y1_Th_TG_f	Y2_E_1cm	Y2_E_5cm	Y2_K_1	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm	Y2_S_1	Y2_S_3	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm	Y2_Tg_TR
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0	0	0	2.10894	2.50615	1.19061	2.43589	1.48614	2.81161	3.60939	1.99195	0	0	0	0	0	0	9.31222	0	0	0	1.06104	1.64879	1.77515	0.706362	0.390689	2.25834	1.63633	15.4189	8.17208	0	9.65462	14.501	0	0	65.5539	124.634	0.33884	0.83226	0.272448	0	1.26958	0.456332	0.260383	7.66213	38.3029	0	4.90069	0	0	0	0	0	0	4.44573	2.31846	3.84455	5.51665	4.14296	4.3662	8.29229	13.1408	8.39096	0	8.12253	0	0	0	0	0
GLUCONEO-PWY: gluconeogenesis I	0	0	138.597	146.8	140.063	157.468	165.237	139.941	158.261	154.815	322.424	246.569	161.882	204.66	114.14	200.296	148.991	312.976	58.312	75.4428	65.7667	201.518	165.115	148.818	158.909	160.252	122.095	102.49	318.148	271.539	164.346	219.585	156.613	281.055	189.359	254.203	0	127.225	133.194	200.831	133.771	126.441	148.959	140.739	270.154	409.575	0	206.675	0	0	121.097	132.272	0	0	168.982	148.504	148.427	178.855	153.385	172.211	182.546	256.969	272.433	250.665	299.356	252.727	123.788	128.526	334.11	243.851
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0	0	0	103.618	61.3899	81.9079	83.0448	97.6298	88.1294	93.3104	248.44	0	0	0	0	0	0	0	0	0	0	148.397	129.424	99.6443	112.687	101.777	0	0	0	0	116.574	82.2867	0	0	0	18.834	57.7823	65.5822	0	153.579	0	0	0	0	125.149	148.872	0	0	0	0	0	0	0	0	133.046	120.556	188.335	123.967	88.1595	101.977	99.2075	260.291	272.908	0	0	0	0	0	0	0
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	0	0	0	19.2835	16.139	28.6483	18.7035	16.4966	20.895	20.442	0	0	14.5947	0	0	19.1651	0	5.5907	0	0	0	20.0746	19.4674	19.0712	16.8331	22.3975	12.613	11.2084	4.67615	5.73277	0	6.2219	0	8.47975	0	0	0	4.53035	4.33041	45.0109	5.4039	7.31129	7.05141	5.79683	13.4652	7.75267	0	33.3503	0	0	0	0	0	0	21.2345	17.5999	26.4591	22.3249	17.0948	16.3943	19.748	16.4023	17.9549	8.7024	0	0	0	17.796	0	0
GLUDEG-I-PWY: GABA shunt	0	0	0	1.63447	0.761647	1.32816	0.788074	1.11124	1.03037	1.93075	4.10679	0	0	0	0	0	0	5.08217	0	0	0	0	0.979302	0.235144	0.202618	0	0.214208	0.292684	4.98483	23.2708	0	0	0	9.55159	0	0	0	0.287842	0	0.1832	0	0	0	0	3.06974	0.376373	0	0	0	0	0	0	0	0	1.40104	1.5952	1.68207	2.53419	1.65265	1.42307	1.91185	32.6258	29.7938	0	12.0402	22.6764	0	0	21.8574	0
GLUTORN-PWY: L-ornithine biosynthesis I	0	0	0	311.9	315.339	448.51	280.592	300.193	257.018	273.194	88.2914	0	197.199	72.7529	250.656	232.296	193.903	69.8528	191.447	85.675	74.6216	259.759	344.35	264.294	240.11	232.381	189.846	193.347	98.095	68.0859	143.863	109.592	37.3478	63.1796	27.7943	53.7998	247.702	429.503	339.632	452.449	329.011	356.341	340.705	318.311	93.4304	79.4167	0	259.989	0	0	0	48.8409	0	0	307.607	279.233	315.593	277.304	226.446	236.71	251.383	104.317	111.592	85.1062	88.6649	81.5149	139.129	174.285	113.025	41.6339
GLYCOCAT-PWY: glycogen degradation I	0	0	0	26.0947	46.1233	22.3245	35.7876	40.748	34.6246	47.3346	46.482	0	0	0	24.8901	40.0283	0	74.187	0	0	0	14.0574	12.754	19.1034	19.8903	22.7097	39.9864	32.5526	51.8925	21.2827	0	15.3514	30.4181	62.5638	0	0	0	40.7861	61.9709	10.8261	66.8738	49.172	59.7375	38.1338	17.6998	1.55714	0	5.10514	0	0	0	0	0	0	35.7871	52.6543	26.6723	40.404	47.7851	42.6817	45.4957	157.179	120.066	84.6782	86.7938	53.7372	0	0	188.863	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0	67.2126	79.3577	472.048	566.837	508.209	539.546	504.17	468.949	512.817	281.736	33.2688	296.845	159.137	316.449	297.957	294.316	333.477	105.204	133.543	162.565	346.305	433.191	311.619	315.209	309.873	433.267	427.147	231.78	172.058	244.951	176.888	175.975	308.835	100.641	101.037	87.4363	586.251	522.865	559.122	508.475	524.865	511.457	543.72	349.929	477.818	0	371.986	41.8509	0	49.2912	76.1217	0	132.269	341.805	336.793	334.094	367.635	339.569	323.344	367.643	465.936	520.11	326.287	379.833	378.583	256.575	264.598	357.535	129.655
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0	0	0	0	0	0.203985	0	0.0583681	0	0.32269	0	0	0	0	0	0	0	0	0	0	0	0.914001	0.848098	0.385923	0	0.617757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.609658	1.30582	0.841023	2.0364	1.36552	1.44738	1.76026	0	0.724127	0	0	0	0	0	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	0	0	0	24.2841	20.1643	22.846	24.5244	22.5755	22.322	19.2671	191.24	0	0	95.3497	0	0	0	177.287	0	0	0	11.8572	16.1997	7.15307	11.5567	10.2582	4.57007	3.91798	238.472	127.992	0	32.2711	0	92.8049	0	0	0	2.46722	2.46213	14.3749	4.5093	1.09879	4.32632	4.57836	91.7874	101.638	0	21.2178	0	0	0	0	0	0	33.5947	29.5082	40.0416	42.2281	34.7716	30.7069	37.2573	222.923	237.367	55.5477	82.6649	0	0	30.8957	103.828	127.468
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"	0	0	0	0	0	0	0.933677	0	0.768592	2.21158	35.0419	0	0	0	0	0	0	0	0	0	0	0.907399	0.419796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.648477	0	0	0	0	0	3.76685	0	0	0	0	0	0	0	0	6.83202	4.77054	4.537	7.55742	6.90308	7.3191	9.68688	0	11.3407	0	0	0	0	0	0	0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0	0	114.813	237.043	239.562	229.654	197.931	186.93	150.493	136.98	396.814	194.798	126.322	239.336	153.451	191.151	165.214	399.755	102.238	137.151	78.9968	161.235	210.625	116.058	116.768	128.35	134.144	133.803	401.642	320.305	213.156	268.27	148.976	402.647	240.633	291.881	99.4596	242.278	274.316	158.752	263.891	258.495	262.333	254.014	362.238	578.318	0	149.693	0	0	115.363	204.273	0	81.5133	131.827	117.3	107.242	152.214	134.645	144.21	157.361	481.343	494.38	283.265	349.41	297.935	89.9918	94.8424	378.497	272.559
GLYOXYLATE-BYPASS: glyoxylate cycle	0	0	0	0.240994	0.218173	0.302783	0.576461	0.256425	0.937561	2.52848	27.8513	0	0	0	0	0	0	27.4557	118.888	0	0	1.31487	1.19521	0.5027	0.638807	0.8347	0	0	2.90643	4.11134	0	0	0	0	0	35.528	158.387	0	0	0.416193	0	0	0	0	3.27358	16.0555	0	0	0	0	0	0	0	0	6.6148	4.95594	3.61677	6.58799	7.62514	5.75544	8.13702	5.26624	7.98055	9.8658	0	0	0	0	0	28.5816
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol"	0	0	0	3.98946	3.2165	3.89539	3.40334	3.33009	3.24181	4.11984	5.94932	0	0	0	0	0	0	5.04385	0	0	0	2.69039	5.07446	1.23219	1.67685	3.24633	1.49004	1.8382	11.4236	7.30859	0	5.97751	0	20.5583	0	0	0	1.24165	3.65728	5.98329	4.42076	3.44995	4.05352	3.31258	16.1514	16.7825	0	12.2109	0	0	0	0	0	0	4.59766	3.97031	4.52934	7.19979	5.09821	3.89892	6.40987	41.1071	46.3905	15.431	9.83229	20.219	0	0	26.2346	0
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	0	0	0	0	0	0	0	0	0.242569	0.0723732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0934	0	0.586229	1.14321	0.654192	0.749584	1.40976	0	0	0	0	0	0	0	0	0
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	0	0	0	0.602833	1.1681	1.29346	0.752907	1.0429	0.903077	0.917715	122.832	45.2369	0	59.2963	0	0	0	122.217	106.151	0	0	0	0.83242	0.532507	0.309303	0	0	0	126.836	61.2227	0	0	0	39.7418	24.1688	0	107.517	0	0	0.477298	0	0	0	0	12.0288	51.318	0	0	0	0	0	0	0	0	3.25181	3.29274	2.81357	3.95996	3.37643	2.9856	5.42165	107.865	114.034	0	0	0	0	0	7.90712	68.9735
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	0	0	0	2.64989	2.23702	1.6751	3.10383	1.98187	4.01373	2.47622	122.832	45.2369	0	59.2963	0	0	0	164.393	106.151	0	0	0	0.896239	0.532507	0.309303	0.851326	1.43294	0.635866	126.836	61.2227	0	0	10.9625	78.7255	34.7028	54.8063	107.517	0	0	0.477298	0	0.654341	0.835564	0	42.8658	131.051	0	0	0	0	0	0	0	0	5.53161	6.07274	3.14266	6.75185	7.02552	5.87433	7.73546	107.865	114.034	0	0	0	0	0	7.90712	68.9735
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	0	0	0	68.0357	64.147	53.8888	39.6171	56.8706	28.2092	22.7768	177.354	50.0496	18.4717	75.1847	29.2203	59.3033	25.0891	182.233	97.9364	0	0	8.90579	62.4105	18.8739	10.0332	12.5089	6.57437	18.821	241.447	139.043	0	48.3742	15.2139	81.1706	40.6571	111.986	111.736	23.2153	5.28487	18.2267	4.88352	18.2156	11.4904	18.4463	54.7912	251.907	0	7.21953	0	0	0	24.8216	0	0	10.8894	10.8999	13.7144	11.463	11.713	12.833	11.3917	160.607	175.395	27.66	27.6529	0	0	38.6248	23.7366	110.515
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0	0	0	0	0	0	0	0	0.880211	0	0	0	0	0	0	0	0	3.70202	0	0	0	0	0.148716	0	0	0	0	0	0	0	0	0	0	8.28065	0	0	0	0	0	3.62654	0	0	0	0	0	2.56849	0	0	0	0	0	0	0	0	0	0.886269	0	2.22874	0	0	0	0	0	0	0	0	0	0	0	0
HISDEG-PWY: L-histidine degradation I	0	0	0	109.844	101.381	138.541	115.674	85.0716	126.586	114.767	165.803	0	66.3789	87.4629	65.9643	52.5105	50.116	318.187	110.956	0	68.6931	104.545	103.524	131.206	114.188	133.229	140.061	162.992	107.51	179.87	12.6332	90.2362	31.0058	243.498	43.3495	65.4372	193.184	85.1952	98.5415	29.8605	83.9563	87.0405	82.9471	123.437	146.346	61.1581	0	6.06543	0	0	0	0	0	76.9241	48.0053	48.1495	30.8418	57.0978	52.3025	79.3775	73.7446	32.3708	40.7269	47.8732	17.1676	9.79719	38.1098	41.0015	25.4901	23.1849
HISTSYN-PWY: L-histidine biosynthesis	111.055	0	159.639	496.479	565.91	502.084	524.06	547.321	490.064	512.349	154.906	0	325.27	125.53	358.768	376.963	356.51	157.7	150.75	127.225	163.017	362.738	420.188	348.461	369.709	324.32	270.511	284.21	183.598	153.465	132.877	145.618	175.864	131.814	62.8268	86.8079	116.403	373.586	369.155	510.722	351.888	371.146	357.504	334.907	164.275	193.008	0	424.083	0	0	63.4736	67.5742	0	118.573	367.77	318.197	397.844	330.277	283.022	319.805	330.922	151.731	153.905	211.701	205.385	83.774	288.853	266.608	158.054	104.725
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0	0	0	0.295025	0.307309	0.684287	0.418657	0	0.234296	1.58779	145.698	0	0	64.9897	0	0	0	136.643	88.4805	0	0	6.15455	5.14224	7.35392	4.53051	7.88755	2.20606	1.77016	154.154	69.2149	27.636	22.9473	0	28.7909	0	28.8432	0	0	0	1.82703	0	0	0.413899	0	16.9058	46.9731	0	0	0	0	0	0	0	0	4.31859	3.30727	4.68505	6.50967	6.00719	6.01104	8.31911	146.742	155.045	24.9727	33.2106	0	0	0	7.60046	83.4396
HSERMETANA-PWY: L-methionine biosynthesis III	77.1336	0	96.96	308.945	304.176	267.808	315.31	327.996	317.771	327.194	197.016	0	170.538	123.789	204.751	205.736	200.374	292.407	160.008	83.4	95.1066	213.693	276.441	205.933	228.931	246.97	220.228	234.8	166.045	156.66	158.94	190.031	115.544	243.459	150.062	131.091	133.851	268.986	256.7	279.527	252.958	253.655	252.936	224.14	240.562	397.339	0	276.973	0	0	110.093	218.944	0	129.155	236.159	221.921	219.458	219.309	275.576	292.956	223.76	215.59	213.228	159.409	201.135	193.858	136.026	198.639	205.824	150.296
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	104.171	0	219.456	586.517	648.337	503.438	608.411	651.727	560.691	603.398	373.655	150.139	438.617	217.319	427.875	457.489	401.197	406.306	207.109	73.398	113.996	498.705	514.375	423.241	474.892	408.23	282.793	277.802	395.788	296.693	361.015	394.615	202.417	393.459	256.64	329.166	184.788	381.477	383.21	617.291	391.895	411.8	412.005	356.457	365.516	666.667	0	558.866	74.3596	0	212.363	0	0	66.5606	489.306	435.35	519.892	437.554	390.068	420.247	434.398	482.095	507.443	295.264	274.8	205.905	350.645	331.148	305.799	347.075
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	0	0	0	0	0	0	0	0	0	0.102113	0	0	0	0	0	0	0	16.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KETOGLUCONMET-PWY: ketogluconate metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.634978	0	0.24511	0	0	0	0	0	9.16658	0	0	0	7.7457	0	0	0	0	0	0	0	0	0	0	2.62641	9.39106	0	0	0	0	0	0	0	0	1.93182	1.3506	1.0911	1.83403	1.58102	2.61995	2.64767	0	0.962899	0	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I	0	0	0	14.5796	11.7341	43.0032	11.3275	9.16481	9.15695	10.9725	129.882	78.1985	10.7725	8.63049	0	0	0	54.3121	0	0	0	17.1485	31.9675	11.1146	10.6291	11.5533	4.04459	7.17967	99.1362	77.5065	235.102	86.8495	65.7831	179.83	0	0	0	4.63745	3.42987	18.9875	3.69166	4.06432	3.33528	2.82417	172.159	312.261	0	18.1876	0	0	0	0	0	0	17.8794	16.7889	43.1406	33.7979	16.8392	14.9303	13.2827	280.177	311.337	177.418	245.583	317.522	0	0	232.317	89.8427
LIPASYN-PWY: phospholipases	0	0	0	0	0	0	0	0	0	0	53.1159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.9224	0	0	0	0	0	0	16.7026	0	0	0	0	0.137615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23265	0	0	0	4.98892	38.7447	43.4011	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0	0	0	0.589695	0.614204	1.36703	0.836561	0	0.468359	3.16522	211.773	0	0	98.0106	0	0	0	218.203	117.685	0	0	12.1033	10.1768	14.3302	8.94593	15.4036	4.37349	3.52481	213.195	113.055	49.1319	41.2876	0	53.4359	0	52.0194	0	0	0	3.64148	0	0	0.826675	0	32.3395	86.3407	0	0	0	0	0	0	0	0	8.54586	6.55426	9.25541	12.8096	11.7871	11.8132	16.2846	205.575	214.916	45.773	60.6506	0	0	0	14.8411	111.772
METH-ACETATE-PWY: methanogenesis from acetate	0	0	0	14.9256	12.4845	6.66937	13.1526	12.2798	17.5784	19.5444	0	0	0	0	0	0	0	0	0	0	0	29.1047	42.6377	13.596	16.8485	29.253	17.4499	21.6582	0	0	0	0	0	0	0	0	0	4.35255	23.2444	27.7125	29.5063	26.7484	23.0978	28.0757	0	0	0	32.4319	0	0	0	0	0	0	8.66993	10.0137	9.50116	24.1812	14.3447	11.2331	15.1076	0	0	0	0	0	0	0	0	0
METHANOGENESIS-PWY: methanogenesis from H2 and CO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.544363	0.45267	0	0.515396	0.533819	2.32036	7.92026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0	0	0	0.3949	0.364462	0.432041	0.246068	0.255707	0.600585	0.642407	68.661	0	0	36.2404	0	0	0	86.5984	0	0	0	0.473225	0.335145	0	0.253946	0	0	0	70.1877	56.1454	0	8.89536	0	50.6103	0	19.5964	0	0	0	0.45329	0	0	0	0	48.4417	111.116	0	0	0	0	0	20.1769	0	0	1.69565	1.7169	1.72111	1.90082	1.57786	2.58684	2.89452	112.354	115.864	0	0	0	0	0	10.9462	54.1265
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	0	0	0	0.516076	0.537563	1.19644	0.732202	0	0.409868	2.77204	207.583	0	0	94.0445	0	0	0	201.058	111.043	0	0	10.6429	8.92367	12.6658	7.85111	13.5685	3.8442	3.08715	214.638	105.952	45.005	37.3075	0	48.0349	0	46.7238	0	0	0	3.18891	0	0	0.723765	0	28.757	77.873	0	0	0	0	0	0	0	0	7.49138	5.74425	8.12515	11.2414	10.3695	10.3756	14.3101	217.311	230.754	41.5642	54.9119	0	0	0	13.1162	110.731
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	0	0	0	6.52729	8.63959	11.8347	6.00801	3.56961	5.22595	6.86334	33.574	0	0	0	0	0	0	20.9398	21.0113	0	0	0.370152	1.20935	0.137506	0.139224	0	0	0	40.1573	30.7934	29.0943	13.7352	0	31.7654	0	26.5915	0	0	0	0.494698	0.0938234	0.132314	0.12724	0	37.5428	113.195	0	1.74813	0	0	31.095	0	0	0	4.73504	3.58465	7.8815	5.22908	4.85927	4.97848	6.25801	60.5345	57.8969	15.1854	0	0	0	0	15.4925	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	0	0	0	6.78257	4.23079	14.6933	8.87426	7.31673	9.88199	8.36841	75.0378	0	0	0	31.0673	34.0691	0	77.4767	97.3507	0	0	2.7784	2.52282	1.696	2.12282	2.50364	0.654703	0	133.565	128.583	19.6564	62.921	18.4221	93.0677	67.4144	114.546	85.4792	0.58117	0	4.52644	0	0	0	0.544708	78.4672	203.86	0	3.47207	0	0	0	0	0	0	15.8101	12.9421	16.0492	16.211	16.237	20.6469	23.557	90.5884	92.901	0	0	0	0	0	7.85443	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0	0	138.789	608.945	669.768	563.877	631.696	634.604	594.732	615.428	400.819	0	411.152	191.729	423.16	402.004	404.785	488.829	153.7	83.0731	188.927	447.765	512.298	433.401	453.753	423.303	414.475	415.078	350.889	317.469	148.902	187.085	172.358	336.391	140.24	171.769	142.454	427.854	430.352	554.009	413.526	442.605	443.171	488.34	276.767	285.585	0	444.687	0	0	88.5549	118.188	0	170.021	401.325	358.737	430.93	381.405	344.916	376.176	394.069	202.732	211.805	267.747	284.606	231.539	316.887	337.115	254.912	66.0874
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	94.9292	0	0	373.089	443.072	290.02	400.436	408.751	336.446	363.661	347.572	125.031	233.038	121.071	246.02	296.282	238.622	299.109	118.444	52.5495	32.7729	229.165	334.833	173.561	231.31	184.947	167.758	168.872	351.798	259.711	244.605	219.117	173.98	321.914	141.684	236.838	173.604	218.762	212.298	305.97	221.477	212.532	217.997	169.62	309.738	563.503	0	278.753	0	0	116.429	75.7697	0	44.0758	210.777	231.873	205.58	231.644	235.289	226.298	248.499	330.487	353.101	289.567	454.722	385.818	180.524	168.005	359.536	305.802
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0	0	77.3198	505.525	573.757	360.67	551.967	572.048	494.422	517.44	372.321	0	330.872	198.654	325.34	352.964	308.974	421.662	100.045	0	77.7021	273.429	349.31	236.725	262.105	230.157	187.356	228.663	300.446	265.471	313.736	233.884	159.917	339.551	91.9101	63.8524	40.7976	194.428	213.499	294.56	225.134	228.898	232.839	245.558	318.716	344.151	0	309.822	0	0	0	91.5513	0	29.9561	223.338	227.977	244.194	255.128	253.634	253.178	280.747	497.425	549.152	414.053	442.241	478.737	287.816	253.746	479.332	132.976
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0	0	0	0	0	0	0	0	0	0.120164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93775	1.4286	2.34692	4.15236	2.01727	2.25867	1.79539	0	1.95885	0	0	0	0	0	0	0
ORNDEG-PWY: superpathway of ornithine degradation	0	0	0	12.0941	11.6579	13.2601	10.8105	10.503	9.65849	8.75546	0	0	0	0	0	0	0	0	0	0	0	12.1183	16.9011	6.78223	6.327	7.0036	5.14071	7.50934	0	0	0	0	0	6.20671	0	0	0	12.1578	10.9153	4.40404	9.844	9.45555	7.79217	9.57302	0	0	0	10.7706	0	0	0	0	0	0	9.14161	7.51964	9.02926	15.527	14.5499	14.3558	12.9964	0	54.825	0	24.3352	0	0	0	0	0
P101-PWY: ectoine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0	0	0	3.47001	5.38505	0.826538	5.48774	3.34929	6.18215	11.8993	46.0158	0	0	0	0	0	0	0	0	0	0	1.09865	2.57343	1.24008	0	1.19326	2.92375	6.9619	12.6496	19.9636	0	0	0	7.9289	0	0	0	10.1305	9.19242	0	9.43747	11.539	9.68758	11.8979	17.1006	1.36988	0	0	0	0	0	0	0	0	9.37917	4.20415	8.17186	12.2115	8.88934	8.80303	10.941	0	6.28292	19.8018	0	0	0	0	8.05294	25.6967
P108-PWY: pyruvate fermentation to propanoate I	0	0	0	48.8319	56.5054	32.8156	53.9925	59.2815	51.9451	65.4199	41.4582	0	15.0383	24.308	29.471	15.8951	23.7315	4.14211	0	0	0	47.9749	60.0372	28.9482	51.7935	34.4749	51.4023	41.0673	0	20.5874	0	13.2132	0	7.40723	0	0	0	106.68	114.137	49.9197	115.535	101.014	121.59	108.021	3.28584	6.42629	0	42.1577	0	0	0	0	0	0	40.3289	61.8014	26.8236	49.6474	69.2738	48.8815	54.8687	1.75444	1.98748	13.076	14.7382	0	0	27.8753	15.3979	0
P122-PWY: heterolactic fermentation	0	0	0	2.84078	3.02843	5.0518	3.78697	4.00085	2.9208	3.07236	45.9271	0	0	0	0	0	0	48.6277	0	0	0	0.976486	2.05328	1.86398	1.03438	0	0.329963	0	54.086	32.1053	0	30.8838	0	62.934	0	74.3196	0	0.777983	0	1.97452	0.819563	0.472373	0.560181	0.464758	92.8249	231.517	0	0	0	0	0	0	0	0	7.11272	4.8531	8.36507	7.64448	5.7087	6.78238	9.93713	141.88	163.135	28.6434	23.4152	10.2578	0	0	52.7038	66.5035
P124-PWY: Bifidobacterium shunt	0	0	0	7.52605	3.2576	7.37032	3.46717	3.5382	2.94649	5.94281	43.3924	0	0	0	0	0	40.0432	24.2481	0	0	0	4.37935	14.6133	1.96659	3.06003	3.82701	2.14119	3.07892	40.1802	20.3128	100.214	0	0	22.4568	0	60.7828	0	0	0	2.24644	1.00726	0	0.639906	0.513668	120.735	207.217	0	4.9086	0	0	0	0	0	0	4.09669	4.3415	9.91677	6.94449	2.13005	2.09265	2.30436	196.57	229.722	75.1314	181.245	264.908	0	47.1197	331.246	50.3783
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis"	0	0	0	0.616602	0.302926	0.215788	0.614639	0.791849	0.646318	0.767207	6.29604	0	0	0	0	0	0	4.5804	0	0	0	0	0	0	0	0	0	0	12.0994	6.31774	0	21.712	0	30.2937	31.585	55.3797	0	0	0	0.400036	0	0	0	0	22.2263	60.8204	0	0	0	0	0	0	0	0	3.97541	5.1267	4.59757	11.1515	6.76944	5.48767	3.70073	52.4541	62.565	37.2645	7.29985	27.7355	0	0	14.4674	0
P161-PWY: acetylene degradation (anaerobic)	0	0	0	5.57508	3.45305	3.92957	4.92503	4.82166	4.53836	4.59801	64.4246	75.9469	0	0	0	0	0	77.8464	69.4352	0	0	5.55121	6.55785	7.4866	4.91185	9.38284	17.208	28.1611	13.1683	12.9767	0	11.8404	0	68.5291	0	13.7042	0	0.951944	1.68628	1.25991	1.32496	0.640238	0.781253	0.582252	73.4947	83.5997	0	0	0	0	51.3201	0	0	0	8.22468	6.97905	2.93512	11.9093	10.4287	8.1386	11.7286	70.0253	92.7036	12.5477	7.41533	16.2779	0	11.953	16.8009	72.0698
P163-PWY: L-lysine fermentation to acetate and butanoate	0	0	0	0	0	0.42547	0.16991	0	0.241185	0	62.6909	0	0	29.3994	0	0	0	127.589	0	0	0	0	0	0	0	0	0	0.42156	33.3987	40.4792	0	6.4463	0	59.8827	45.2416	45.2379	0	0	0	0.166399	0	0	0	0	47.302	35.2462	0	0	0	0	0	0	0	0	0	0	0	0	0	0.313805	0	10.2891	16.117	0	0	0	0	0	0	39.6169
P164-PWY: purine nucleobases degradation I (anaerobic)	0	0	0	13.7228	9.68165	11.646	12.1405	17.9754	10.2458	13.0589	95.0667	0	0	34.726	0	0	0	148.597	0	0	0	26.89	32.7008	10.1197	17.235	23.591	7.18337	6.89187	44.4435	58.4271	0	20.8394	0	97.8365	0	30.2418	0	5.17892	11.8173	17.0218	12.4407	12.9608	12.9911	12.8662	44.185	47.0556	0	15.24	0	0	0	0	0	0	9.5357	8.67252	8.45117	20.1108	12.1822	10.5912	12.759	24.1584	17.5963	0	0	0	0	0	33.1311	0
